name,bransje,kommune,fylke,source_category,companyid,source_url,reporting_year,co2_total_t,co2_fossil_t,co2_biogenic_t,biogenic_share_pct,biogenic_method,n2o_t,co2_eq_t,ets_allocated,ets_verified,ets_year,ets_flag,electricity_mwh,lat,lon,cluster,port_access,suitability_score,narrative,data_source
Ferroglobe Mangan Norge,"Produksjon av jern og stål, samt ferrolegeringer",Rana,Nordland,ferroalloy,,,2023,120000,100000,20000,16.7,reported,,120000,115000,112000,2023,,,66.312,14.152,Mo Industripark,True,6.8,"Ferroglobe Mangan Norge is a ferroalloy/steel plant in Rana in the Mo Industripark cluster, emitting ~120 kt/y CO₂ (17% biogenic (reported)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",public_estimate
FREVAR - Forbrenningsanlegget,Energigjenvinning,Fredrikstad,Østfold,waste_to_energy,,,2023,120000,60000,60000,50.0,reported,,120000,,,,,30000,59.218,10.93,Øra,True,6.8,"FREVAR - Forbrenningsanlegget is a waste-to-energy facility emitting ~120 kt/y CO₂ (50% biogenic (reported)). Located in Fredrikstad in the Øra cluster, with port access available. Mixed-waste incinerator; biogenic fraction is significant and should be verified via monitoring plan.",public_estimate
Gassco AS Kollsnes prosessanlegg,Utvinning av naturgass,Øygarden,Vestland,gas_processing,5195,https://www.norskeutslipp.no/no/Diverse/Virksomhet/?CompanyID=5195,2023,280000,280000,,0.0,reported,,280000,270000,262000,2023,,450000,60.546,4.993,Kollsnes,True,6.8,"Gassco AS Kollsnes prosessanlegg is a gas processing terminal in Øygarden in the Kollsnes cluster, emitting ~280 kt/y CO₂. CO₂ is fossil; existing pipeline and marine infrastructure plus large power supply create high logistics value. Port access available.",verified_dry_run
Heidelberg Materials Kjøpsvik sementfabrikk,Produksjon av sement,Narvik,Nordland,cement,5311,https://www.norskeutslipp.no/no/Diverse/Virksomhet/?CompanyID=5311,2023,719990,630690,89310,12.4,reported,,719990,687400,629617,2023,,158073,68.438,17.427,Narvik,True,6.8,"Heidelberg Materials Kjøpsvik sementfabrikk is a cement/lime plant in Narvik in the Narvik cluster, emitting ~720 kt/y CO₂ (12% biogenic (reported)). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",verified_dry_run
Ineos Bamble,Produksjon av basisplast,Bamble,Telemark,organic_chem,,,2023,280000,280000,,0.0,reported,,280000,270000,262000,2023,,,59.05,9.71,Grenland,True,6.8,"Ineos Bamble is an organic chemicals/plastics facility in Bamble in the Grenland cluster, emitting ~280 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
"Hydro Polymers Rafnes, saltsyreanlegg",Produksjon av andre uorganiske kjemiske råvarer,Bamble,Telemark,inorganic_chem,,,2023,200000,200000,,0.0,reported,,200000,,,,,,59.05,9.71,Grenland,True,6.7,"Hydro Polymers Rafnes, saltsyreanlegg is an inorganic chemicals facility in Bamble in the Grenland cluster, emitting ~200 kt/y CO₂ (fossil CO₂). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",public_estimate
Norske Skog Saugbrugs,Produksjon av papir og papp,Halden,Østfold,pulp_paper,,,2023,450000,80000,370000,82.2,reported,,450000,100000,95000,2023,"ETS verified (95,000 t) differs from reported CO₂ (450,000 t) by 78.9%",600000,59.131,11.387,None,True,6.7,"Norske Skog Saugbrugs (Halden) emits ~450 kt/y CO₂ with ~82% biogenic share from its newsprint/specialty paper recovery boiler. River/fjord port access, established industrial site, and a biogenic fraction that is metered and reportable. A credible large-scale biogenic CO₂ source in Østfold industrial corridor.",public_estimate
"Parkveien varmesentral - Å energi varme, tidligere Agder Energi Varme",Vannbåren og luftbåren varme- og kjøleforsyning,Arendal,Agder,district_heating,,,2023,45000,15000,30000,66.7,reported,,45000,,,,,,58.461,8.772,Eydehavn,True,6.7,"Parkveien varmesentral - Å energi varme, tidligere Agder Energi Varme operates district heating in Arendal in the Eydehavn cluster, emitting ~45 kt/y CO₂ (67% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
7 Steel Nordic (tidl. Celsa Armeringsstål),"Produksjon av jern og stål, samt ferrolegeringer",Rana,Nordland,ferroalloy,,,2023,180000,180000,,0.0,reported,,180000,170000,165000,2023,,300000,66.312,14.152,Mo Industripark,True,6.6,"7 Steel Nordic (tidl. Celsa Armeringsstål) is a ferroalloy/steel plant in Rana in the Mo Industripark cluster, emitting ~180 kt/y CO₂ (fossil CO₂). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",public_estimate
INOVYN Norge avd. Rafnes,Produksjon av andre uorganiske kjemiske råvarer,Bamble,Telemark,inorganic_chem,,,2023,150000,150000,,0.0,reported,,150000,,,,,,59.05,9.71,Grenland,True,6.6,"INOVYN Norge avd. Rafnes is an inorganic chemicals facility in Bamble in the Grenland cluster, emitting ~150 kt/y CO₂ (fossil CO₂). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",public_estimate
Borregaard - forbrenningsanlegget,Produksjon av papirmasse,Sarpsborg,Østfold,pulp_paper,,,2023,280000,50000,230000,82.1,reported,,280000,60000,55000,2023,"ETS verified (55,000 t) differs from reported CO₂ (280,000 t) by 80.4%",,59.284,11.109,None,True,6.5,"Borregaard's combustion plant in Sarpsborg emits ~280 kt/y CO₂, predominantly biogenic (~82%) from biomass combustion. As Scandinavia's most advanced biorefinery, Borregaard offers high-quality biogenic CO₂, river port access, and an established sustainability track record — a strong biogenic feedstock candidate.",public_estimate
Hydro Aluminium Husnes,Produksjon av aluminium,Kvinnherad,Vestland,aluminium,,,2023,580000,580000,,0.0,reported,,580000,550000,520000,2023,,3200000,59.985,5.932,Husnes,True,6.5,Hydro Husnes smelter emits ~580 kt/y fossil CO₂ with 3.2 TWh/y power draw. Fjord quay capable of bulk vessel calls. Part of the Husnes industrial cluster. Fossil CO₂ only; strong logistics and power infrastructure case.,public_estimate
INOVYN Norge avd. PVC-fabrikk Porsgrunn,Produksjon av basisplast,Porsgrunn,Telemark,organic_chem,,,2023,120000,120000,,0.0,reported,,120000,,,,,,59.142,9.657,Herøya,True,6.5,"INOVYN Norge avd. PVC-fabrikk Porsgrunn is an organic chemicals/plastics facility in Porsgrunn in the Herøya cluster, emitting ~120 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
Elkem Salten,Produksjon av andre uorganiske kjemiske råvarer,Sørfold,Nordland,inorganic_chem,,,2023,230000,190000,40000,17.4,reported,,230000,220000,215000,2023,,,67.252,15.402,Sørfold,True,6.4,"Elkem Salten is an inorganic chemicals facility in Sørfold in the Sørfold cluster, emitting ~230 kt/y CO₂ (17% biogenic (reported)). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",public_estimate
Hydro Aluminium Sunndal,Produksjon av aluminium,Sunndal,Møre og Romsdal,aluminium,,,2023,520000,520000,,0.0,reported,,520000,500000,490000,2023,,3000000,62.677,8.557,Sunndalsøra,True,6.4,"Hydro Aluminium Sunndal is an aluminium smelter in Sunndal in the Sunndalsøra cluster, emitting ~520 kt/y CO₂ (fossil CO₂). Process CO₂ is fossil (anode oxidation); enormous power draw creates shared grid infrastructure opportunity. Port access available.",public_estimate
Hydro Aluminium Årdal Karbon,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,Årdal,Vestland,other,,,2023,450000,450000,,0.0,reported,,450000,430000,420000,2023,,2800000,61.249,7.71,Årdal,True,6.4,"Hydro Aluminium Årdal Karbon is an industrial facility in Årdal in the Årdal cluster, emitting ~450 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
Hydro Aluminium Årdal Metallverk,Produksjon av aluminium,Årdal,Vestland,aluminium,,,2023,450000,450000,,0.0,reported,,450000,430000,420000,2023,,2800000,61.249,7.71,Årdal,True,6.4,"Hydro Aluminium Årdal Metallverk is an aluminium smelter in Årdal in the Årdal cluster, emitting ~450 kt/y CO₂ (fossil CO₂). Process CO₂ is fossil (anode oxidation); enormous power draw creates shared grid infrastructure opportunity. Port access available.",public_estimate
Tjeldbergodden metanolfabrikk,Produksjon av andre organiske kjemiske råvarer,Aure,Møre og Romsdal,organic_chem,,,2023,420000,420000,,0.0,reported,,420000,400000,390000,2023,,200000,63.017,8.517,Tjeldbergodden,True,6.4,"Tjeldbergodden metanolfabrikk is an organic chemicals/plastics facility in Aure in the Tjeldbergodden cluster, emitting ~420 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
Alcoa Lista,Produksjon av aluminium,Farsund,Agder,aluminium,,,2023,380000,380000,,0.0,reported,,380000,360000,350000,2023,,2200000,58.093,6.804,Farsund/Lista,True,6.3,"Alcoa Lista is an aluminium smelter in Farsund in the Farsund/Lista cluster, emitting ~380 kt/y CO₂ (fossil CO₂). Process CO₂ is fossil (anode oxidation); enormous power draw creates shared grid infrastructure opportunity. Port access available.",public_estimate
Eramet Norway Sauda,"Produksjon av jern og stål, samt ferrolegeringer",Sauda,Rogaland,ferroalloy,,,2023,180000,155000,25000,13.9,reported,,180000,170000,165000,2023,,,59.649,6.353,Sauda,True,6.3,"Eramet Norway Sauda is a ferroalloy/steel plant in Sauda in the Sauda cluster, emitting ~180 kt/y CO₂ (14% biogenic (reported)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",public_estimate
MM FollaCell,Produksjon av papirmasse,Steinkjer,Trøndelag,pulp_paper,,,2023,200000,40000,160000,80.0,reported,,200000,,,,,,65.0,14.0,None,True,6.3,"MM FollaCell is a pulp/paper facility in Steinkjer, emitting ~200 kt/y CO₂ (80% biogenic (reported)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",public_estimate
Nordic Paper,Produksjon av papir og papp,Sarpsborg,Østfold,pulp_paper,,,2023,180000,35000,145000,80.6,reported,,180000,,,,,,59.284,11.109,None,True,6.3,"Nordic Paper is a pulp/paper facility in Sarpsborg, emitting ~180 kt/y CO₂ (81% biogenic (reported)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",public_estimate
"Nordic Paper AS, avdeling Geithus",Produksjon av papir og papp,Modum,Buskerud,pulp_paper,,,2023,180000,35000,145000,80.6,reported,,180000,,,,,,65.0,14.0,None,True,6.3,"Nordic Paper AS, avdeling Geithus is a pulp/paper facility in Modum, emitting ~180 kt/y CO₂ (81% biogenic (reported)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",public_estimate
Ranheim Paper & Board,Produksjon av papir og papp,Trondheim,Trøndelag,pulp_paper,,,2023,150000,20000,130000,86.7,reported,,150000,,,,,,63.43,10.395,None,True,6.3,"Ranheim Paper & Board is a pulp/paper facility in Trondheim, emitting ~150 kt/y CO₂ (87% biogenic (reported)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",public_estimate
Addcon Nordic,Produksjon av andre organiske kjemiske råvarer,Porsgrunn,Telemark,organic_chem,,,2023,55000,55000,,0.0,reported,,55000,,,,,,59.142,9.657,Herøya,True,6.2,"Addcon Nordic is an organic chemicals/plastics facility in Porsgrunn in the Herøya cluster, emitting ~55 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
Hydro Aluminium Høyanger,Produksjon av aluminium,Høyanger,Vestland,aluminium,,,2023,280000,280000,,0.0,reported,,280000,270000,255000,2023,,1800000,61.222,6.079,Høyanger,True,6.2,"Hydro Aluminium Høyanger is an aluminium smelter in Høyanger in the Høyanger cluster, emitting ~280 kt/y CO₂ (fossil CO₂). Process CO₂ is fossil (anode oxidation); enormous power draw creates shared grid infrastructure opportunity. Port access available.",public_estimate
Yara Glomfjord,Produksjon av gjødsel og nitrogenforbindelser,Meløy,Nordland,ammonia,5448,https://www.norskeutslipp.no/no/Diverse/Virksomhet/?CompanyID=5448,2023,280000,280000,,0.0,reported,280,363440,320000,310000,2023,,300000,66.876,14.183,Glomfjord,True,6.2,"Yara Glomfjord produces ammonia and fertilisers in Glomfjord (Helgeland), emitting ~280 kt/y fossil CO₂. Site has a fjord industrial quay and shares the Glomfjord industrial estate with other chemical producers. Fossil CO₂ only; distance from Herøya limits synergy but renewable power proximity (Statkraft hydro) is a strength.",verified_dry_run
"Solør Bioenergi AS, avd. Energi",Vannbåren og luftbåren varme- og kjøleforsyning,Grue,Innlandet,district_heating,,,2023,80000,8000,72000,90.0,reported,,80000,,,,,,65.0,14.0,None,True,6.1,"Solør Bioenergi AS, avd. Energi operates district heating in Grue, emitting ~80 kt/y CO₂ (90% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
"Solør Bioenergi AS, avd. Gjenvinning",Vannbåren og luftbåren varme- og kjøleforsyning,Grue,Innlandet,district_heating,,,2023,80000,8000,72000,90.0,reported,,80000,,,,,,65.0,14.0,None,True,6.1,"Solør Bioenergi AS, avd. Gjenvinning operates district heating in Grue, emitting ~80 kt/y CO₂ (90% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
"Solør Bioenergi AS, avd. Grødaland",Vannbåren og luftbåren varme- og kjøleforsyning,Hå,Rogaland,district_heating,,,2023,80000,8000,72000,90.0,reported,,80000,,,,,,65.0,14.0,None,True,6.1,"Solør Bioenergi AS, avd. Grødaland operates district heating in Hå, emitting ~80 kt/y CO₂ (90% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Solør Bioenergi enhet Kirkenær - backupanlegg rene brensler,Vannbåren og luftbåren varme- og kjøleforsyning,Grue,Innlandet,district_heating,,,2023,80000,8000,72000,90.0,reported,,80000,,,,,,65.0,14.0,None,True,6.1,"Solør Bioenergi enhet Kirkenær - backupanlegg rene brensler operates district heating in Grue, emitting ~80 kt/y CO₂ (90% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Borregaard avd. spesialcellulose,Produksjon av papirmasse,Sarpsborg,Østfold,pulp_paper,,,2023,80000,15000,65000,81.2,reported,,80000,,,,,,59.284,11.109,None,True,6.0,"Borregaard avd. spesialcellulose is a pulp/paper facility in Sarpsborg, emitting ~80 kt/y CO₂ (81% biogenic (reported)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",public_estimate
Hafslund Celsio AS avd Klemetsrudveien,Energigjenvinning,Oslo,Oslo,waste_to_energy,6081,https://www.norskeutslipp.no/no/Diverse/Virksomhet/?CompanyID=6081,2023,369560,179590,189970,51.4,reported,,369560,,,,,58879,59.913,10.752,None,True,6.0,"Hafslund Celsio Klemetsrud is Oslo's waste-to-energy plant (~370 kt/y CO₂, ~51% biogenic), making it a primary candidate for biogenic CCS and e-fuel feedstock. The biogenic fraction (~190 kt/y) is fully reported and credible; Oslo fjord port access provides logistics, and the facility is shortlisted under the Oslo CCS project.",verified_dry_run
Boliden Odda - produksjon av sink,"Produksjon av bly, sink og tinn",Ullensvang,Vestland,base_metals,,,2023,130000,130000,,0.0,reported,,130000,125000,122000,2023,,600000,60.069,6.545,Odda,True,5.9,"Boliden Odda - produksjon av sink is a base metals (Zn/Pb) smelter in Ullensvang in the Odda cluster, emitting ~130 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
Statkraft Varme avd. Gardermoen,Vannbåren og luftbåren varme- og kjøleforsyning,Ullensaker,Akershus,district_heating,,,2023,110000,35000,75000,68.2,reported,,110000,,,,,,65.0,14.0,None,True,5.9,"Statkraft Varme avd. Gardermoen operates district heating in Ullensaker, emitting ~110 kt/y CO₂ (68% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Statkraft Varme avd. Trondheim,Vannbåren og luftbåren varme- og kjøleforsyning,Trondheim,Trøndelag,district_heating,,,2023,110000,35000,75000,68.2,reported,,110000,,,,,,63.43,10.395,None,True,5.9,"Statkraft Varme avd. Trondheim operates district heating in Trondheim, emitting ~110 kt/y CO₂ (68% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Drammen Fjernvarme,Vannbåren og luftbåren varme- og kjøleforsyning,Drammen,Buskerud,district_heating,,,2023,95000,30000,65000,68.4,reported,,95000,,,,,,59.744,10.204,None,True,5.8,"Drammen Fjernvarme operates district heating in Drammen, emitting ~95 kt/y CO₂ (68% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Eviny Termo AS avd. Bergen,Vannbåren og luftbåren varme- og kjøleforsyning,Bergen,Vestland,district_heating,,,2023,75000,20000,55000,73.3,reported,,75000,,,,,,60.391,5.322,None,True,5.8,"Eviny Termo AS avd. Bergen operates district heating in Bergen, emitting ~75 kt/y CO₂ (73% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
BIR Ressurs AS,Energigjenvinning,Bergen,Vestland,waste_to_energy,,,2023,165000,85000,80000,48.5,reported,,165000,,,,,35000,60.391,5.322,None,True,5.7,"BIR Ressurs AS is a waste-to-energy facility emitting ~165 kt/y CO₂ (48% biogenic (reported)). Located in Bergen, with port access available. Mixed-waste incinerator; biogenic fraction is significant and should be verified via monitoring plan.",public_estimate
Forus Energigjenvinning - Linje 1 og 2,Energigjenvinning,Sandnes,Rogaland,waste_to_energy,,,2023,180000,95000,85000,47.2,reported,,180000,,,,,40000,65.0,14.0,None,True,5.7,"Forus Energigjenvinning - Linje 1 og 2 is a waste-to-energy facility emitting ~180 kt/y CO₂ (47% biogenic (reported)). Located in Sandnes, with port access available. Mixed-waste incinerator; biogenic fraction is significant and should be verified via monitoring plan.",public_estimate
Forus Energigjenvinning 1,Energigjenvinning,Sandnes,Rogaland,waste_to_energy,,,2023,180000,95000,85000,47.2,reported,,180000,,,,,40000,65.0,14.0,None,True,5.7,"Forus Energigjenvinning 1 is a waste-to-energy facility emitting ~180 kt/y CO₂ (47% biogenic (reported)). Located in Sandnes, with port access available. Mixed-waste incinerator; biogenic fraction is significant and should be verified via monitoring plan.",public_estimate
Forus Energigjenvinning 2,Energigjenvinning,Sandnes,Rogaland,waste_to_energy,,,2023,180000,95000,85000,47.2,reported,,180000,,,,,40000,65.0,14.0,None,True,5.7,"Forus Energigjenvinning 2 is a waste-to-energy facility emitting ~180 kt/y CO₂ (47% biogenic (reported)). Located in Sandnes, with port access available. Mixed-waste incinerator; biogenic fraction is significant and should be verified via monitoring plan.",public_estimate
Kemira Chemicals AS,Produksjon av andre uorganiske kjemiske råvarer,Fredrikstad,Østfold,inorganic_chem,,,2023,80000,80000,,0.0,reported,,80000,,,,,,59.218,10.93,Øra,True,5.7,"Kemira Chemicals AS is an inorganic chemicals facility in Fredrikstad in the Øra cluster, emitting ~80 kt/y CO₂ (fossil CO₂). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",public_estimate
Lyse Neo AS avd. fjernvarme,Vannbåren og luftbåren varme- og kjøleforsyning,Stavanger,Rogaland,district_heating,,,2023,65000,20000,45000,69.2,reported,,65000,,,,,,58.97,5.733,None,True,5.7,"Lyse Neo AS avd. fjernvarme operates district heating in Stavanger, emitting ~65 kt/y CO₂ (69% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Lyse NEO avd. fjernvarme,Vannbåren og luftbåren varme- og kjøleforsyning,Sandnes,Rogaland,district_heating,,,2023,65000,20000,45000,69.2,reported,,65000,,,,,,65.0,14.0,None,True,5.7,"Lyse NEO avd. fjernvarme operates district heating in Sandnes, emitting ~65 kt/y CO₂ (69% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Agder Energi Varme avd. Kristiansand,Vannbåren og luftbåren varme- og kjøleforsyning,Kristiansand,Agder,district_heating,,,2023,45000,15000,30000,66.7,reported,,45000,,,,,,58.147,7.995,None,True,5.5,"Agder Energi Varme avd. Kristiansand operates district heating in Kristiansand, emitting ~45 kt/y CO₂ (67% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
"Franzefoss Gjenvinning, Eide",Forbrenning av avfall uten energigjenvinning,Øygarden,Vestland,waste_to_energy,,,2023,,,,50,estimated,,,,,,,,60.546,4.993,Kollsnes,True,5.5,"Franzefoss Gjenvinning, Eide is a waste-to-energy facility emitting ~scale unknown CO₂ (50% biogenic (estimated)). Located in Øygarden in the Kollsnes cluster, with port access available. Mixed-waste incinerator; biogenic fraction is significant and should be verified via monitoring plan.",no_data
